NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06179303,"Functional Imaging in Prediction of Response to Abemaciclib for Advanced Hormone Receptor-Positive, HER2-Negative Breast Cancer",https://clinicaltrials.gov/study/NCT06179303,RECRUITING,Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Locally Advanced Unresectable HER2-Negative Breast Carcinoma|Locally Advanced Unresectable Hormone Receptor-Positive Breast Carcinoma|Metastatic HER2-Negative Breast Carcinoma|Metastatic Hormone Receptor-Positive Breast Carcinoma,DRUG: Abemaciclib|DRUG: Anastrozole|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|PROCEDURE: Diagnostic Imaging Testing|DRUG: Exemestane|OTHER: Fludeoxyglucose F-18|DRUG: Fluorine F 18 Fluoro Furanyl Norprogesterone|DRUG: Fulvestrant|BIOLOGICAL: Gonadotropin-releasing Hormone Analog|DRUG: Letrozole|PROCEDURE: Positron Emission Tomography|DRUG: Tamoxifen|DRUG: Therapeutic Estradiol,University of Washington,Breast Cancer Research Foundation,INTERVENTIONAL
NCT06271837,A Study of T-DXd as Monotherapy or in Combination With Anti-cancer Agents in Patients With Selected HER2-expressing Tumors,https://clinicaltrials.gov/study/NCT06271837,RECRUITING,Advanced Solid Tumors (Excluding Gastric Cancer and Breast Cancer),DRUG: Trastuzumab deruxtecan|DRUG: Bevacizumab,AstraZeneca,"Daiichi Sankyo Co., Ltd.",INTERVENTIONAL
NCT06516289,Neoadjuvant Treatment of gBRCA-Mutated HER2-Negative Breast Cancer With HRS-1167 and Famitinib ± Camrelizumab,https://clinicaltrials.gov/study/NCT06516289,RECRUITING,BRCA-Mutated Breast Carcinoma|HER2-negative Breast Cancer,DRUG: HRS-1167|DRUG: Famitinib|DRUG: Camrelizumab,Fudan University,,INTERVENTIONAL
NCT05834582,Neoadjuvant Fluzoparib in Germline BRCA-mutated Three-negative Breast Cancer Breast Cancer,https://clinicaltrials.gov/study/NCT05834582,RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: Fluzoparib+Paclitaxel|DRUG: Epirubicin+Cyclophosphamide,The First Affiliated Hospital with Nanjing Medical University,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT07310758,Contrast-enhanced Ultrasound for Sentinel Node Detection,https://clinicaltrials.gov/study/NCT07310758,RECRUITING,Melanoma|Breast Cancer|Head & Neck Cancer,DRUG: Sonazoid,The Netherlands Cancer Institute,GE Healthcare,INTERVENTIONAL
NCT07153757,De-escalation Therapy in Stage I ER-Positive Breast Cancer: A Non-Inferiority Trial,https://clinicaltrials.gov/study/NCT07153757,NOT_YET_RECRUITING,Breast Cancer Early Stage Breast Cancer (Stage 1-3),DRUG: Endocrine Therapy of Physician's Choice,Fudan University,,INTERVENTIONAL
NCT06840821,"Evaluating the Safety, Tolerability, and Preliminary Anti-tumor Activity of MB0151 in Adult Subjects With Advanced Solid Tumors Expressing Somatostatin Receptors",https://clinicaltrials.gov/study/NCT06840821,RECRUITING,Advanced Solid Tumors,DRUG: MB0151 for injection,"Mainline Biosciences (Shanghai) Co., Ltd",,INTERVENTIONAL
NCT07007780,Sacituzumab Tirumotecan in Neoadjuvant Treatment of Early-Stage TNBC,https://clinicaltrials.gov/study/NCT07007780,NOT_YET_RECRUITING,Triple -Negative Breast Cancer,DRUG: Sacituzumab Tirumotecan,Xijing Hospital,,INTERVENTIONAL
NCT06639672,Neoadjuvant Chemotherapy + PD-1 Inhibitor+Different Radiotherapy Fractionations for HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06639672,NOT_YET_RECRUITING,HR+HER2- Breast Cancer,DRUG: Chemotherapy+PD-1 inhibitor+8Gy x 3f|DRUG: Chemotherapy+PD-1 inhibitor+16Gy x 1f|DRUG: Chemotherapy+PD-1 inhibitor+2.67Gy x 15f|DRUG: Chemotherapy+PD-1 inhibitor+0.5Gy x 12-18f,Lei Liu,,INTERVENTIONAL
NCT06671262,Neoadjuvant Toripalimab and Radiotherapy Treatment in N+ HR+ Breast Cancer,https://clinicaltrials.gov/study/NCT06671262,RECRUITING,Breast Adenocarcinoma,RADIATION: SBRT|DRUG: Immuno-chemotherapy,"Second Affiliated Hospital, School of Medicine, Zhejiang University",,INTERVENTIONAL
NCT06533384,PARPi or Capecitabine Combined With PD-1 Inhibitors as Adjuvant Therapy in High-risk TNBC,https://clinicaltrials.gov/study/NCT06533384,RECRUITING,Triple-negative Breast Cancer,"DRUG: As per the germline BRCA1/2 mutation status, the selection of either Fuzuloparib or capecitabine in combination with Camrelizumab is made for adjuvant therapy.|DRUG: 9 cycles of Camrelizumab as adjuvant therapy.",Guangdong Provincial People's Hospital,,INTERVENTIONAL
NCT07173101,Clinical Investigation of the Effects of Semiconductor Embedded Therapeutic Garments on Cancer-related Cognitive Impairment in Breast and Gynecological Cancer Patients,https://clinicaltrials.gov/study/NCT07173101,RECRUITING,Breast Cancer|Gynecologic Cancer|Cancer-related Cognitive Difficulties,DEVICE: Semiconductor embedded headband|DEVICE: Sham Headband,University of Utah,"INCREDIWEAR HOLDINGS, INC.",INTERVENTIONAL
