NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT06590857,"Trial of 225Ac-DOTATATE (RYZ101) in Subjects With ER+, HER2-negative Unresectable or Metastatic Breast Cancer Expressing SSTRs.",https://clinicaltrials.gov/study/NCT06590857,RECRUITING,Metastatic Breast Cancer|HER2-negative Breast Cancer|ER+ Breast Cancer|Advanced Breast Cancer,DRUG: RYZ101,"RayzeBio, Inc.",,INTERVENTIONAL
NCT05659056,Neoadjuvant Study With Pyrotinib and Trastuzumab and Abraxane in Patients With HER2-enriched Breast Cancer,https://clinicaltrials.gov/study/NCT05659056,RECRUITING,Breast Cancer,"DRUG: Pyrotinib, trastuzumab, paclitaxel-albumin",The First Affiliated Hospital with Nanjing Medical University,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT06810804,A Phase IIa Study to Evaluate NBQ72S,https://clinicaltrials.gov/study/NCT06810804,RECRUITING,Breast Cancer,DRUG: NBQ72S,Nantong Bencao Quadriga Medical Technology Co. Ltd.,,INTERVENTIONAL
NCT04965766,Patritumab Deruxtecan (U3-1402) in Unresectable Locally Advanced or Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT04965766,RECRUITING,Metastatic Breast Cancer|Advanced Breast Cancer,DRUG: U3-1402,"Gustave Roussy, Cancer Campus, Grand Paris",Daiichi Sankyo,INTERVENTIONAL
NCT06650748,Multigene Risk Score Combined With Ki-67 Dynamic Assessment in Stratified Neoadjuvant Endocrine Therapy Treatment With or Without CDK4/6 Inhibitors in HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06650748,NOT_YET_RECRUITING,Breast Cancer|Early-stage Breast Cancer,DRUG: Dalpiciclib|DRUG: Letrozole,Peking University,,INTERVENTIONAL
NCT05451784,Treatment of Advanced or Metastatic Triple-negative Breast Cancer With Adoptive Therapy of PD1+ TILS,https://clinicaltrials.gov/study/NCT05451784,RECRUITING,Metastatic Triple-Negative Breast Carcinoma,DRUG: PD1+ TILs (NUMARZU-001) product infusion,Fundacio Clinic Barcelona,SOLTI Breast Cancer Research Group,INTERVENTIONAL
NCT06960707,Two Versus One Week Breast Radiotherapy (RT),https://clinicaltrials.gov/study/NCT06960707,RECRUITING,Breast Cancer,RADIATION: Radiation therapy - 1 week|RADIATION: Radiation therapy - 2 weeks,Weill Medical College of Cornell University,,INTERVENTIONAL
NCT06632405,A Trial of Camrelizumab Plus Nab-paclitaxel and Levocetirizine in Metastatic or Recurrent TNBC,https://clinicaltrials.gov/study/NCT06632405,NOT_YET_RECRUITING,Breast Cancer,DRUG: Camrelizumab|DRUG: Nab paclitaxel|DRUG: Levocetirizine Hydrochloride,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT07217990,Neoadjuvant Complete Response Customized Treatment Approach for Definitive Management of Breast Cancer,https://clinicaltrials.gov/study/NCT07217990,NOT_YET_RECRUITING,Breast Cancer|HER2-positive Breast Cancer|Triple Negative Breast Cancer,DRUG: Neoadjuvant Chemotherapy|RADIATION: Radiation Therapy|PROCEDURE: MRI|PROCEDURE: Breast Cancer Surgery|PROCEDURE: Biopsy|PROCEDURE: Biospecimen collection,Ohio State University Comprehensive Cancer Center,Gateway for Cancer Research,INTERVENTIONAL
NCT04886531,"Trial of Pre-operative Neratinib and Endocrine Therapy With Trastuzumab in ER-Positive, HER-2 Positive Breast Cancers",https://clinicaltrials.gov/study/NCT04886531,RECRUITING,Breast Cancer|HER2-positive Breast Cancer|ER Positive Breast Cancer|PR-Positive Breast Cancer,DRUG: Neratinib|DRUG: Letrozole (L) or Anastrozole (A)|DRUG: Trastuzumab,Ruth O'Regan,"Puma Biotechnology, Inc.|University of Rochester",INTERVENTIONAL
NCT03417622,Wide Margin vs. Narrow Margin in Postneoadjuvant Lumpectomy,https://clinicaltrials.gov/study/NCT03417622,RECRUITING,Breast Cancer,PROCEDURE: Bracketing|DRUG: Neoadjuvant therapy|PROCEDURE: Post-treatment volume margin resection|PROCEDURE: Pre-treatment volume margin resection,Mansoura University,,INTERVENTIONAL
NCT06649331,Platform Study of ADC Rechallenge in ADC-treated Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06649331,RECRUITING,Advanced Breast Cancer|Metastatic Breast Cancer|Triple Negative Breast Cancer (TNBC)|HER2-negative Breast Cancer|Breast Cancer,DRUG: SHR-A1811|DRUG: SHR-A1921|DRUG: SHR-A2009|DRUG: SHR-A2102|DRUG: Famitinib|DIETARY_SUPPLEMENT: Fat Module Formula for Special Medical Purposes,Fudan University,,INTERVENTIONAL
NCT02535221,Neoadjuvant Endocrine Therapy Versus Chemotherapy in Premenopausal Patients With ER+ & HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT02535221,RECRUITING,Breast Cancer,DRUG: Goserelin+TAM+AI|DRUG: Epirubicin+CTX+5-Fu,Peking University,,INTERVENTIONAL
NCT07178730,"NeoAdjuvant Therapy Comparing Sacituzumab Govitecan+Pembrolizumab vs. SoC Chemotherapy in Clinical Stage II-III, Triple-negative Early Breast Cancer",https://clinicaltrials.gov/study/NCT07178730,NOT_YET_RECRUITING,Breast Cancer|Triple-negative Breast Cancer,DRUG: Sacituzumab govitecan|DRUG: Pembrolizumab 25 mg/1 ML Intravenous Solution [KEYTRUDA]|DRUG: SoC Chemotherapy,West German Study Group,Gilead Sciences,INTERVENTIONAL
NCT05439005,Opioid Free Versus Opioid Based Anaesthesia for Free Flap Reconstruction Surgery of the Breast: A Phase III Multicentric Randomized Controlled Study.,https://clinicaltrials.gov/study/NCT05439005,RECRUITING,Breast Cancer,DRUG: Dexmedetomidine,Institut Curie,,INTERVENTIONAL
NCT05993559,Necessity of Post-mastectomy Radiotherapy After Neoadjuvant Chemotherapy and Mastectomy,https://clinicaltrials.gov/study/NCT05993559,NOT_YET_RECRUITING,Breast Cancer,RADIATION: Arm I (No PMRT)|RADIATION: Arm II (PMRT),Gangnam Severance Hospital,,INTERVENTIONAL
NCT04356209,"Improving Theempowerment in Patients With Severe Breast Fibrosis Radio-induced Treated by Pravastatin : Benefit of e-PROs (Electronic "" Patient Reported Outcome "") on Breast-related Quality of Life",https://clinicaltrials.gov/study/NCT04356209,RECRUITING,Breast Cancer,OTHER: e-PRO Intervention|DRUG: Pravastatin,Institut du Cancer de Montpellier - Val d'Aurelle,,INTERVENTIONAL
NCT07106632,Optimising Adjuvant Chemotherapy Prescription in Young Patients With Hormone-dependent Breast Cancer Using Genomic Tests,https://clinicaltrials.gov/study/NCT07106632,NOT_YET_RECRUITING,Early Breast Cancer|Premenopausal Breast Cancer|HR+/HER2- Breast Cancer,"DRUG: test-directed treatment: allocated treatment will depend on the PAM50 score result (centrally assessed) : chemo-endocrine therapy or endocrine therapy alone|DRUG: In the control arm, the treatment will be as standard of care : chemo-endocrine therapy",UNICANCER,University of Warwick,INTERVENTIONAL
NCT07047755,Trastuzumab Rezetecan Plus Pertuzumab in the Neoadjuvant Treatment of HER2 Positive BC,https://clinicaltrials.gov/study/NCT07047755,NOT_YET_RECRUITING,Breast Cancer,DRUG: Trastuzumab Rezetecan|DRUG: Pertuzumab,Henan Cancer Hospital,,INTERVENTIONAL
NCT01185132,Intensity Modulated Radiotherapy (IMRT) vs. 3D-conformal Accelerated Partial Breast Irradiation (APBI) for Early Stage Breast Cancer After Lumpectomy,https://clinicaltrials.gov/study/NCT01185132,RECRUITING,Breast Cancer,RADIATION: accelerated partial breast irradiation - 3D-conformal planning|RADIATION: accelerated partial breast irradiation - IMRT planning,Rocky Mountain Cancer Centers,,INTERVENTIONAL
NCT05774678,Trial Of PreoperAtive Radiation (TOPAz): A Randomized Trial Comparing Hypofractionated Versus Conventionally Fractionated Preoperative Radiation Followed by Mastectomy With Immediate Autologous Breast Reconstruction With Integrated Nanomechanical Biomarker Evaluation,https://clinicaltrials.gov/study/NCT05774678,RECRUITING,Breast Cancer,RADIATION: Group 1 (preoperative radiation hypofractionated)|OTHER: Group 2 (preoperative radiation conventionally fractionated),M.D. Anderson Cancer Center,Artidis,INTERVENTIONAL
NCT05388149,Kadcyla And Neratinib for Interception of HER2+ Breast Cancer With Molecular Residual Disease,https://clinicaltrials.gov/study/NCT05388149,RECRUITING,Breast Cancer|HER2-positive Breast Cancer,DRUG: Neratinib,"University Health Network, Toronto",,INTERVENTIONAL
NCT05708235,A PoC Study to Evaluate Treatments' Efficacy by Monitoring MRD Using ctDNA in HR-positive/HER2-negative EBC Population,https://clinicaltrials.gov/study/NCT05708235,RECRUITING,Breast Cancer,DRUG: Giredestrant|DRUG: Abemaciclib|DRUG: Inavolisib,MedSIR,,INTERVENTIONAL
NCT02089100,Trial of Superiority of Stereotactic Body Radiation Therapy in Patients With Breast Cancer,https://clinicaltrials.gov/study/NCT02089100,RECRUITING,Breast Cancer,RADIATION: stereotactic body radiation therapy|RADIATION: Systemic treatment,"Gustave Roussy, Cancer Campus, Grand Paris",,INTERVENTIONAL
NCT04722692,Delayed Sentinel Lymph Node Biopsy in Ductal Cancer in Situ,https://clinicaltrials.gov/study/NCT04722692,RECRUITING,DCIS|Breast Cancer|Breast Neoplasms|Sentinel Lymph Node,DIAGNOSTIC_TEST: Delayed SLND|DIAGNOSTIC_TEST: Late SLND,Uppsala University,"Västmanlands Hospital, Västerås, Sweden|Sahlgrenska University Hospital|University Hospital, Linkoeping|Skane University Hospital|Blekinge County Council Hospital|Växjö Hospital, Växjö, Sweden|The University of Hong Kong-Shenzhen Hospital|Norrlands University Hospital|Dalarna County Hospital, Falun, Sweden|Baylor College of Medicine",INTERVENTIONAL
NCT06016738,OP-1250 (Palazestrant) vs. Standard of Care for the Treatment of ER+/HER2- Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06016738,RECRUITING,Breast Cancer|Advanced Breast Cancer|Metastatic Breast Cancer|ER Positive Breast Cancer|HER2 Negative Breast Carcinoma,DRUG: Palazestrant|DRUG: Fulvestrant|DRUG: Anastrozole|DRUG: Letrozole|DRUG: Exemestane,"Olema Pharmaceuticals, Inc.",,INTERVENTIONAL
NCT06276868,"Darsilide Combined With AI, Trastuzumab and Patuzumab in the Neoadjuvant Treatment of HR+/HER2+ Breast Cancer",https://clinicaltrials.gov/study/NCT06276868,RECRUITING,Breast Cancer|HER2-positive Breast Cancer,DRUG: Dalcilib+letrozole+HP treatment group,Henan Cancer Hospital,,INTERVENTIONAL
NCT06068985,Classifying for HER2 Dependence to De-Escalate Neoadjuvant Chemotherapy in Patients With HER2+ Early Breast Cancer Undergoing HER2 Double-Blockade,https://clinicaltrials.gov/study/NCT06068985,RECRUITING,Breast Cancer|HER2-positive Breast Cancer,DRUG: PHESGO,Latin American Cooperative Oncology Group,Roche Pharma AG|Oncoclínicas,INTERVENTIONAL
NCT07129187,SHR-A1811 for HER2-positive Breast Cancer With Suboptimal Neoadjuvant Response,https://clinicaltrials.gov/study/NCT07129187,NOT_YET_RECRUITING,Early Breast Cancer|HER2 + Breast Cancer|Stage II Breast Cancer|Stage III Breast Cancer,DRUG: SHR-A1811,Chuan Wang,,INTERVENTIONAL
NCT06238921,Sacituzumab Govitecan and Zimberelimab w/SRS in the Management of Metastatic Triple Negative Breast Cancer With Brain Metastases,https://clinicaltrials.gov/study/NCT06238921,RECRUITING,Breast Cancer|Triple Negative Breast Cancer,RADIATION: Stereotactic Radiation|DRUG: Zimberelimab|DRUG: Sacituzumab govitecan,H. Lee Moffitt Cancer Center and Research Institute,Gilead Sciences,INTERVENTIONAL
NCT05806385,Grouping Immune-modulation With Cryoablation (LOGIC) for Breast Cancers,https://clinicaltrials.gov/study/NCT05806385,NOT_YET_RECRUITING,Triple Negative Breast Cancer,DEVICE: Cryoablation|COMBINATION_PRODUCT: Cryoablation combined with PD1 Inhibitor,Texas Tech University Health Sciences Center,,INTERVENTIONAL
NCT04683679,A Study of Radiation Therapy With Pembrolizumab and Olaparib or Other Radiosensitizers in Women Who Have Triple-Negative or Hormone-Receptor Positive/Her2 Negative Breast Cancer,https://clinicaltrials.gov/study/NCT04683679,RECRUITING,Triple Negative Breast Cancer|TNBC - Triple-Negative Breast Cancer|Breast Cancer|Metastatic Breast Cancer,DRUG: Pembrolizumab|DRUG: Olaparib|RADIATION: Radiation,Memorial Sloan Kettering Cancer Center,,INTERVENTIONAL
NCT04568616,Phase II Study of Neoadjuvant ArOMatase Inhibitor Therapy for ER+ Breast Cancer (NAOMI),https://clinicaltrials.gov/study/NCT04568616,RECRUITING,Breast Cancer|ER Positive Breast Cancer,DRUG: Letrozole 2.5mg,Dartmouth-Hitchcock Medical Center,,INTERVENTIONAL
NCT04540692,Evaluation of Sequencing of Anthracyclines and Taxanes for Locally Advanced HER2-negative Breast Cancer,https://clinicaltrials.gov/study/NCT04540692,RECRUITING,Breast Cancer,DRUG: Docetaxel or Paclitaxel|DRUG: Cyclophosphamide + Doxorrubicin,Latin American Cooperative Oncology Group,Grupo Brasileiro de Estudos do Câncer de Mama (GBECAM),INTERVENTIONAL
NCT06229067,Efficacy and Safety of PD-L1 Monoclonal Antibody Combined With Metronomic VEX in Advanced Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06229067,NOT_YET_RECRUITING,Breast Cancer|Triple Negative Breast Cancer,DRUG: Adebrelimab|DRUG: Vinorelbine|DRUG: Cyclophosphamide (tablet)|DRUG: Capecitabine,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT04454528,BreastVAX: Radiation Boost to Enhance Immune Checkpoint Blockade Therapy,https://clinicaltrials.gov/study/NCT04454528,RECRUITING,Breast Cancer,RADIATION: Hypofractionated radiotherapy|DRUG: Pembrolizumab infusion|PROCEDURE: Blood and tissue sampling,Abramson Cancer Center at Penn Medicine,,INTERVENTIONAL
NCT04614194,Single Cell Immune and Non-immune Correlates of Response to Neoadjuvant Abemaciclib,https://clinicaltrials.gov/study/NCT04614194,RECRUITING,Breast Cancer,DRUG: Letrozole|DRUG: Abemaciclib,University of Texas Southwestern Medical Center,Eli Lilly and Company|Cancer Prevention Research Institute of Texas,INTERVENTIONAL
NCT03561740,A Study of the Addition of Metronomic Capecitabine to Standard Adjuvant Therapy in High Risk HER2+ BC paTients,https://clinicaltrials.gov/study/NCT03561740,RECRUITING,Breast Cancer,DRUG: capecitabine,Sun Yat-sen University,,INTERVENTIONAL
NCT07307911,Coenzyme Q10 for Neuroprotection in Paclitaxel-Induced Neuropathy,https://clinicaltrials.gov/study/NCT07307911,RECRUITING,Breast Cancer,DIETARY_SUPPLEMENT: Coenzyme Q 10|DRUG: Paclitaxel,Damanhour University,,INTERVENTIONAL
NCT07245797,"A Phase II, Multicenter, Open-label Study to Evaluate the Efficacy and Safety of Neoadjuvant Therapy With Inavolisib Plus Pertuzumab and Trastuzumab as Subcutaneous (PH-FDC SC) and 3-week Cycle Nab-paclitaxel for PIK3CA-mutated, HER2+, eBC",https://clinicaltrials.gov/study/NCT07245797,NOT_YET_RECRUITING,Breast Cancer,DRUG: fixed-dose combination of pertuzumab and trastuzumab as subcutaneousformulation q3w and nab-paclitaxel in 3-week cycle for total 6 cycles with inavolisib (6 cycles) or without inavolisib.,Zhimin Shao,,INTERVENTIONAL
NCT04537286,First-line Nab-paclitaxel Plus Cisplatin Plus Carilizumab in mTNBC Patients,https://clinicaltrials.gov/study/NCT04537286,RECRUITING,Breast Cancer,DRUG: nab-paclitaxel plus cisplatin plus carilizumab (AP+PD-1),Fudan University,,INTERVENTIONAL
NCT05228951,"Pyrotinib Maleate, Trastuzumab, SHR6390 and Letrozole in Combination for Stage II-III TPBC",https://clinicaltrials.gov/study/NCT05228951,RECRUITING,Breast Cancer,"DRUG: Pyrotinib maleate, dalpiciclib, Trastuzumab, letrozole",Shengjing Hospital,,INTERVENTIONAL
NCT05768139,First-in-Human Study of STX-478 as Monotherapy and in Combination With Other Antineoplastic Agents in Participants With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05768139,RECRUITING,"Breast Cancer|Solid Tumors, Adult",DRUG: STX-478|DRUG: Fulvestrant|DRUG: Ribociclib|DRUG: Palbociclib|DRUG: Letrozole|DRUG: Anastrozole|DRUG: Exemestane,Eli Lilly and Company,,INTERVENTIONAL
NCT05288777,Adjuvant Chemoradiation and Biomarkers of Response in High-risk Breast Cancer,https://clinicaltrials.gov/study/NCT05288777,RECRUITING,Breast Cancer|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III,DRUG: T-DM1|DRUG: Capecitabine|RADIATION: External Beam Radiation Therapy 0|RADIATION: External Beam Radiation Therapy 1,University of Virginia,,INTERVENTIONAL
NCT02062489,"Evaluation of Tamoxifen's Efficacy for ER/PR Negative,ER-beta Positive Operable Breast Cancer Patients",https://clinicaltrials.gov/study/NCT02062489,RECRUITING,Breast Cancer,DRUG: Tamoxifen|DRUG: Placebo,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,INTERVENTIONAL
NCT05695313,Randomized Study Versus Placebo for the Prevention of Neurotoxicity Induced by Weekly PACLITAXEL,https://clinicaltrials.gov/study/NCT05695313,RECRUITING,Breast Cancer,DRUG: OnLife®|OTHER: Placebo,Centre Georges Francois Leclerc,,INTERVENTIONAL
NCT04993014,Circulating Tumor Cells and Treatment De-escalation After Neoadjuvant Therapy for HER2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT04993014,RECRUITING,Breast Neoplasms|HER2-positive Breast Cancer|Circulating Tumor Cell,DRUG: Pertuzumab|DRUG: Trastuzumab|OTHER: Circulating tumor cells,AC Camargo Cancer Center,,INTERVENTIONAL
NCT06028022,Reishi Mushroom Extract for Fatigue and/or Arthralgias/Myalgias in Patients With Breast Cancer on Aromatase Inhibitors,https://clinicaltrials.gov/study/NCT06028022,RECRUITING,Estrogen Receptor-Positive Breast Carcinoma,DIETARY_SUPPLEMENT: Mushroom Extract|DRUG: Placebo Administration|OTHER: Quality-of-Life Assessment|OTHER: Questionnaire Administration,Mayo Clinic,,INTERVENTIONAL
NCT06643585,A Randomized Secondary Adjuvant Treatment Intervention Study Comparing Trastuzumab-Deruxtecan to SOC Therapy in eBC Patients With Molecular Relapse,https://clinicaltrials.gov/study/NCT06643585,RECRUITING,Breast Cancer,DRUG: Trastuzumab-Deruxtecan|OTHER: Physicians Choice (PhC).,Prof. Wolfgang Janni,,INTERVENTIONAL
NCT06728579,Enhanced Pain Coping in Cancer (EPIC): A Study of Managing Treatment-Related Joint Pain in Breast Cancer Survivors,https://clinicaltrials.gov/study/NCT06728579,RECRUITING,Breast Cancer Survivor,BEHAVIORAL: Mindfulness Oriented Recovery Enhancement (MORE)|OTHER: Questionnaires|BEHAVIORAL: Supportive Psychotherapy (SG),Memorial Sloan Kettering Cancer Center,National Institutes of Health (NIH),INTERVENTIONAL
NCT07242352,Marker - Adjusted Therapy Comparing Adjuvant Elacestrant With Standard Endocrine Treatment in Genomically and/or Clinically High-risk ER+/HER2- eBC,https://clinicaltrials.gov/study/NCT07242352,NOT_YET_RECRUITING,Breast Cancer|HR+/HER2- Breast Cancer,DRUG: Elacestrant|DRUG: Standard-of-care endocrine treatment,West German Study Group,Berlin-Chemie Menarini,INTERVENTIONAL
NCT04893109,ATEMPT 2.0: Adjuvant T-DM1 vs TH,https://clinicaltrials.gov/study/NCT04893109,RECRUITING,Breast Cancer|HER2-positive Breast Cancer,DRUG: trastuzumab-emtansine|DRUG: Trastuzumab SC|DRUG: Paclitaxel,Dana-Farber Cancer Institute,"Genentech, Inc.",INTERVENTIONAL
NCT07085767,Palazestrant in Combination With Ribociclib for the First-line Treatment of ER+/HER2- Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT07085767,RECRUITING,Breast Cancer|Locally Advanced Breast Cancer|Metastatic Breast Cancer|ER Positive Breast Cancer|HER2 Negative Breast Carcinoma,DRUG: Palazestrant|DRUG: Letrozole-matching placebo|DRUG: Ribociclib|DRUG: Letrozole|DRUG: Palazestrant matching-placebo,"Olema Pharmaceuticals, Inc.",Novartis Pharmaceuticals,INTERVENTIONAL
NCT06270355,Stockholm Mammography Risk Stratified Trial,https://clinicaltrials.gov/study/NCT06270355,NOT_YET_RECRUITING,Breast Cancer,PROCEDURE: Risk based screening,Karolinska Institutet,,INTERVENTIONAL
